id	type	delay	answer	success	elapsed
0	1	400	si	false	10899
1	5	100	si	false	4470
2	5	800	no	true	3767
3	1	400	si	false	7816
4	0	0	no	false	4320
5	5	50	si	false	2232
6	6	200	no	true	3675
7	5	400	no	true	2597
8	6	300	si	false	1650
9	4	800	si	false	1679
10	5	300	no	true	2865
11	6	800	no	true	3344
12	0	0	si	true	4604
13	3	50	si	false	4314
14	6	300	si	false	2219
15	6	200	no	true	1613
16	2	400	no	true	2630
17	5	100	no	true	1563
18	0	0	si	true	1898
19	0	0	no	false	1889
20	1	200	no	true	5946
21	0	0	si	true	1664
22	2	800	no	true	1777
23	1	50	si	false	1886
24	4	200	no	true	1808
25	1	300	si	false	1533
26	6	400	no	true	3336
27	2	50	si	false	2107
28	4	300	no	true	1363
29	6	50	si	false	3453
30	1	100	no	true	3063
31	2	200	si	false	1897
32	1	800	no	true	2924
33	5	300	no	true	1316
34	3	400	no	true	1480
35	2	300	no	true	1673
36	4	200	si	false	6112
37	2	50	si	false	2194
38	2	400	no	true	2792
39	3	200	no	true	1759
40	4	50	si	false	1919
41	6	1200	no	true	1841
42	3	100	si	false	2082
43	3	800	no	true	3418
44	2	800	no	true	1477
45	4	800	no	true	1331
46	3	300	si	false	2323
47	5	1200	no	true	1580
48	2	200	si	false	2937
49	1	800	no	true	2596
50	4	100	si	false	1707
51	0	0	si	true	2130
52	5	800	no	true	1196
53	4	300	no	true	1442
54	6	400	si	false	1344
55	1	300	si	false	1460
56	4	400	no	true	1389
57	5	200	si	false	1221
58	3	100	no	true	2272
59	2	300	no	true	2776
60	1	50	si	false	2696
61	3	200	si	false	1514
62	4	1200	no	true	1212
63	4	50	si	false	1498
64	4	1200	no	true	1430
65	6	800	si	false	1774
66	3	300	si	false	1470
67	5	200	si	false	1329
68	3	50	si	false	1240
69	6	100	no	true	1183
70	5	50	si	false	1318
71	1	200	no	true	3382
72	1	100	si	false	2471
73	6	100	si	false	1675
74	5	1200	no	true	1577
75	2	100	si	false	1676
76	4	400	no	true	1965
77	6	1200	no	true	2637
78	4	100	si	false	2185
79	5	400	no	true	2957
80	3	400	no	true	1554
81	3	800	no	true	1430
82	2	100	si	false	2067
83	6	50	si	false	1983
84	2	400	no	true	1348
85	4	300	si	false	3047
86	6	800	no	true	1230
87	5	1200	no	true	1521
88	1	800	no	true	972
89	1	400	no	true	1204
90	0	0	si	true	2149
91	0	0	si	true	1454
92	6	300	si	false	1587
93	3	300	no	true	1307
94	2	800	no	true	1231
95	3	400	no	true	2276
96	5	400	si	false	2361
97	3	300	si	false	1659
98	2	200	si	false	3320
99	3	100	si	false	2583
100	5	800	no	true	1204
101	4	400	no	true	1264
102	1	400	no	true	1256
103	5	800	si	false	1911
104	5	200	si	false	1409
105	4	100	si	false	1655
106	4	50	si	false	1843
107	3	200	si	false	2919
108	2	400	no	true	1459
109	1	200	si	false	2398
110	6	1200	no	true	1175
111	5	100	si	false	1639
112	1	100	si	false	2151
113	0	0	si	true	1477
114	5	300	si	false	1308
115	1	100	si	false	4143
116	2	50	si	false	2199
117	4	100	si	false	2351
118	2	100	si	false	1231
119	6	200	si	false	1267
120	4	800	no	true	1056
121	5	400	si	false	2112
122	4	400	no	true	1199
123	5	50	si	false	1275
124	1	50	si	false	1526
125	6	800	no	true	1071
126	6	1200	si	false	1159
127	5	300	si	false	1286
128	2	200	si	false	1202
129	4	200	si	false	1224
130	6	100	no	true	2181
131	6	400	si	false	958
132	4	200	si	false	2293
133	1	200	no	true	1500
134	0	0	si	true	1638
135	1	50	si	false	1194
136	2	100	si	false	814
137	2	50	si	false	1853
138	0	0	si	true	2078
139	1	300	si	false	1668
140	3	50	si	false	1009
141	3	400	no	true	1364
142	4	1200	no	true	1345
143	4	300	no	true	1473
144	6	50	si	false	1329
145	2	800	no	true	1223
146	4	50	si	false	1190
147	6	300	si	false	1688
148	3	800	no	true	929
149	3	200	si	false	1085
150	5	1200	no	true	1676
151	2	300	si	false	1409
152	3	100	si	false	1004
153	6	400	no	true	1224
154	4	1200	no	true	1159
155	2	300	no	true	2639
156	5	50	si	false	1683
157	1	300	no	true	1238
158	6	50	no	true	1450
159	0	0	si	true	1317
160	6	100	no	true	3427
161	1	800	no	true	1017
162	5	200	si	false	1587
163	3	50	si	false	1145
164	5	100	si	false	1239
165	3	800	no	true	1005
166	6	200	si	false	1308
167	4	800	no	true	1127
168	3	200	si	false	1101
169	6	400	si	false	1038
170	5	50	si	false	1067
171	4	50	si	false	1282
172	5	1200	no	true	1058
173	4	100	si	false	1350
174	5	100	si	false	1136
175	5	800	no	true	989
176	4	800	no	true	1022
177	2	50	si	false	1482
178	0	0	no	false	1228
179	2	400	si	false	950
180	1	100	si	false	3503
181	1	800	no	true	1096
182	5	100	si	false	1691
183	3	50	si	false	1047
184	2	100	si	false	947
185	1	200	no	true	1271
186	6	50	si	false	1162
187	3	800	no	true	1177
188	0	0	si	true	1216
189	4	400	no	true	5063
190	1	400	si	false	2277
191	3	100	no	true	1734
192	4	1200	no	true	1295
193	6	800	si	false	1270
194	6	1200	no	true	1174
195	4	400	no	true	2504
196	6	100	si	false	884
197	5	400	no	true	1329
198	3	400	no	true	1032
199	2	300	no	true	1394
200	4	200	no	true	1125
201	6	300	si	false	1300
202	1	200	si	false	1620
203	2	50	si	false	2181
204	1	300	no	true	956
205	6	800	no	true	1111
206	4	300	no	true	1187
207	5	400	si	false	1022
208	5	200	si	false	2580
209	5	1200	no	true	1000
210	0	0	si	true	1122
211	4	800	no	true	1038
212	1	100	si	false	1164
213	6	100	si	false	1113
214	6	400	si	false	1044
215	5	200	si	false	1161
216	5	50	si	false	1536
217	2	800	no	true	894
218	3	400	no	true	973
219	6	50	no	true	2111
220	5	800	no	true	1042
221	4	1200	no	true	1359
222	6	200	no	true	2385
223	2	200	no	true	1061
224	3	200	si	false	1112
225	2	100	si	false	1220
226	1	50	si	false	2026
227	6	1200	no	true	939
228	6	300	no	true	1196
229	4	50	si	false	1160
230	0	0	si	true	1155
231	2	200	si	false	890
232	3	300	si	false	1132
233	0	0	si	true	1024
