id	type	delay	answer	success	elapsed
0	4	1200	no	true	14041
1	1	50	no	true	10872
2	2	400	no	true	6536
3	1	300	si	false	2296
4	0	0	si	true	3003
5	2	100	si	false	2228
6	3	400	si	false	9213
7	3	100	si	false	9057
8	5	800	si	false	5405
9	6	800	no	true	6319
10	1	400	no	true	4444
11	6	50	no	true	3984
12	3	50	si	false	8381
13	6	100	si	false	3486
14	1	300	no	true	2869
15	2	300	no	true	2915
16	5	300	no	true	2266
17	1	200	si	false	6028
18	0	0	no	false	3814
19	6	100	si	false	1686
20	4	100	si	false	1527
21	3	200	si	false	2234
22	6	300	no	true	2873
23	5	300	si	false	1699
24	6	400	si	false	4834
25	4	800	no	true	2627
26	6	800	no	true	4163
27	5	1200	no	true	1471
28	3	800	no	true	1134
29	5	1200	no	true	1238
30	1	100	no	true	2275
31	4	50	no	true	3683
32	1	50	si	false	4060
33	1	400	no	true	2146
34	0	0	si	true	2984
35	5	400	no	true	3402
36	3	200	si	false	1800
37	5	200	si	false	2317
38	2	400	no	true	2549
39	6	200	no	true	1920
40	2	200	no	true	2548
41	4	400	no	true	3406
42	6	200	no	true	1904
43	2	50	si	false	1324
44	4	100	si	false	1679
45	1	200	si	false	3652
46	4	300	no	true	2071
47	5	100	si	false	1409
48	3	300	no	true	3040
49	5	200	si	false	1398
50	3	300	si	false	1902
51	3	800	no	true	1794
52	6	1200	no	true	1628
53	5	400	si	false	2483
54	3	400	si	false	2619
55	3	50	si	false	1244
56	2	200	si	false	2603
57	4	200	si	false	1725
58	4	50	si	false	1401
59	5	50	no	true	1948
60	4	300	no	true	3278
61	6	50	si	false	1325
62	6	400	si	false	1382
63	2	100	no	true	3126
64	3	100	si	false	1228
65	2	50	si	false	2242
66	1	800	no	true	1944
67	4	1200	no	true	1145
68	2	800	no	true	1850
69	0	0	si	true	1671
70	2	800	no	true	1848
71	1	100	si	false	1266
72	4	400	si	false	2710
73	5	100	no	true	1500
74	2	300	si	false	1127
75	5	800	no	true	1259
76	6	300	no	true	1186
77	4	200	si	false	1349
78	0	0	si	true	1017
79	5	50	si	false	1446
80	4	800	si	false	1331
81	1	800	no	true	2853
82	0	0	si	true	1394
83	6	1200	no	true	1131
84	6	100	si	false	1209
85	0	0	si	true	1794
86	4	400	no	true	2596
87	4	200	si	false	2215
88	4	100	si	false	1748
89	4	400	si	false	1202
90	6	300	no	true	1087
91	5	50	si	false	1247
92	5	1200	no	true	1117
93	2	800	no	true	2018
94	6	200	si	false	2004
95	2	200	si	false	1362
96	5	300	si	false	1077
97	6	300	no	true	1190
98	3	200	si	false	2071
99	6	50	si	false	1631
100	0	0	si	true	1152
101	5	100	si	false	925
102	1	800	no	true	1291
103	5	1200	no	true	1115
104	6	800	no	true	1498
105	6	200	si	false	2242
106	4	800	no	true	1600
107	3	300	si	false	3645
108	1	100	si	false	1471
109	5	50	si	false	972
110	1	100	si	false	1331
111	3	400	si	false	836
112	3	400	si	false	2641
113	2	100	si	false	1736
114	1	200	si	false	1680
115	2	400	si	false	1051
116	5	200	si	false	1290
117	1	200	si	false	2106
118	1	300	si	false	1190
119	4	300	si	false	1517
120	5	400	no	true	2868
121	3	300	no	true	1876
122	0	0	si	true	2308
123	5	200	si	false	2433
124	6	800	no	true	1058
125	3	50	si	false	1489
126	6	1200	no	true	975
127	6	100	si	false	1620
128	5	400	no	true	1856
129	2	300	si	false	5080
130	1	50	si	false	820
131	4	1200	no	true	1726
132	0	0	si	true	3812
133	4	50	si	false	2249
134	4	50	si	false	3431
